Date,Close,High,Low,Open,Volume,SMA20,SMA50,EMA20,EMA50,RSI,MACD,ATR,Returns,Volatility,Momentum_5,Momentum_10,Volume_Change,Target
2020-01-01,672.2161254882812,680.0087898882745,670.3904712564104,675.9566091562889,14004468,,,,,,,0.0,,,,,,1
2020-01-02,683.6602172851562,686.1761470483035,673.2848606187108,673.2848606187108,17710316,,,,,,,0.0,0.0170244231921128,,,,0.2646189773149541,1
2020-01-03,684.4840698242188,686.4878962665452,678.1831277621862,682.6360622006584,20984698,,,,,,,0.0,0.0012050614007264,,,,0.1848855774227857,0
2020-01-06,668.6093139648438,680.3650438391912,667.0507691289934,676.8472602327319,24519177,,,,,,,0.0,-0.0231922941076653,,,,0.1684312540499748,1
2020-01-07,678.8956909179688,683.3040975466399,673.952886932682,676.4019951208164,16683622,,,,,,,0.0,0.0153847347595668,,,,-0.3195684341281112,0
2020-01-08,673.7969970703125,683.2817317108661,672.3943304886236,674.6207976476823,16047902,,,,,,,0.0,-0.007510275754972,,1.0023517311205277,,-0.0381044355955798,1
2020-01-09,689.3154907226562,690.206053788195,681.8568169732863,685.1297254143482,14982742,,,,,,,0.0,0.0230314081538187,,1.0082720528334344,,-0.0663737851838826,0
2020-01-10,689.1596069335938,693.7461255846073,685.5972357997355,691.0520831577536,12478359,,,,,,,0.0,-0.0002261428782037,,1.0068307464198192,,-0.1671511796705836,0
2020-01-13,687.4007568359375,694.0801585291999,685.0407051379933,688.0019166618636,18282382,,,,,,,0.0,-0.0025521665517835,,1.028105266376953,,0.4651271052547854,0
2020-01-14,681.0331420898438,690.2061811582291,677.6711767218139,685.7532461085189,15816535,,,,,,,0.0,-0.0092633222800094,,1.0031484235361472,,-0.1348755867807597,0
2020-01-15,678.5616455078125,685.708622508407,676.068009361063,683.9052024938248,15817859,,,,,,,0.0,-0.0036290400999385,,1.00707134115797,1.0094397021715629,8.37098643919898e-05,1
2020-01-16,684.8179321289062,687.2448055274269,680.4095262908653,680.8548672498658,12847975,,,,,,,0.0,0.009219923735023,,0.99347532638642,1.001693406775002,-0.1877551190714242,1
